district_id,state,district,latitude,longitude,district_area_sq_km,population,population_density,average_rainfall,maximum_rainfall,annual_actual_rainfall,rainfall_departure_pct,heavy_rainfall_days,historical_disaster_count,historical_flood_count,historical_landslide_count,historical_cyclone_count,landslide_event_count,cyclone_track_count,cyclone_exposure_count,max_cyclone_wind,total_households,good_houses,livable_houses,dilapidated_houses,dilapidated_house_pct,hospital_count,hospital_bed_count
DIST_IND_613,TAMIL NADU,Karur,10.844279,78.134563,2937.23,1064493,362.41,0.16,1.4,3.1,0.0,0.0,0,0,0,0,0,25,61,63.0,295.5,218.0,72.9,4.6000000000000005,1.56,26,0
DIST_IND_614,TAMIL NADU,Tiruchirappalli,10.889828,78.569709,4549.56,2722290,598.36,0.83,7.0,15.7,0.0,0.0,0,0,0,0,0,34,96,70.0,295.3,214.89999999999998,75.1,5.4,1.83,126,0
DIST_IND_615,TAMIL NADU,Perambalur,11.274957,78.891534,1771.14,565223,319.13,1.88,14.6,35.7,0.0,0.0,0,0,0,0,0,34,107,70.0,294.8,216.7,73.2,4.9,1.66,9,0
DIST_IND_616,TAMIL NADU,Ariyalur,11.161978,79.24219,1957.31,754894,385.68,2.94,27.0,55.8,0.0,0.0,0,0,0,0,0,43,132,75.0,291.9,184.1,99.4,8.4,2.88,5,0
DIST_IND_617,TAMIL NADU,Cuddalore,11.535935,79.450992,3734.42,2605914,697.81,2.64,18.5,50.1,0.0,0.0,0,0,0,0,0,42,155,70.0,295.4,191.3,98.2,6.0,2.03,30,0
DIST_IND_618,TAMIL NADU,Nagapattinam,10.837223,79.738381,2620.82,1616450,616.77,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,179,80.0,296.1,171.9,115.6,8.6,2.9,26,0
DIST_IND_619,TAMIL NADU,Thiruvarur,10.674179,79.533464,2319.36,1264277,545.1,2.04,18.8,38.7,0.0,0.0,0,0,0,0,0,48,163,80.0,296.4,174.4,112.5,9.4,3.17,0,0
DIST_IND_620,TAMIL NADU,Thanjavur,10.669963,79.240801,3464.31,2405890,694.48,1.74,11.9,33.0,0.0,0.0,0,0,0,0,0,41,134,75.0,293.6,176.6,107.0,10.0,3.41,51,0
DIST_IND_621,TAMIL NADU,Pudukkottai,10.358921,78.880734,4750.81,1618345,340.65,1.94,12.4,36.8,0.0,0.0,0,0,0,0,0,32,99,75.0,296.7,187.3,99.7,9.5,3.2,25,0
DIST_IND_622,TAMIL NADU,Sivaganga,9.915595,78.595957,4302.59,1339101,311.23,2.46,9.6,46.7,0.0,0.0,0,0,0,0,0,24,72,70.0,297.3,208.9,81.4,6.8,2.29,23,0
DIST_IND_623,TAMIL NADU,Madurai,9.92264,78.004611,3780.92,3038252,803.57,2.02,15.8,38.4,0.0,0.0,0,0,0,0,0,23,55,63.0,294.5,219.7,70.7,4.1,1.39,167,0
DIST_IND_624,TAMIL NADU,Theni,9.891519,77.438145,2921.92,1245899,426.4,,,,,,0,0,0,0,0,16,42,55.0,292.8,193.29999999999998,94.6,4.8,1.64,26,0
DIST_IND_625,TAMIL NADU,Virudhunagar,9.492162,77.905604,4341.52,1942288,447.38,1.54,14.1,29.3,0.0,0.0,0,0,0,0,0,15,39,55.0,296.8,224.5,68.2,3.9,1.31,76,0
DIST_IND_626,TAMIL NADU,Ramanathapuram,9.437342,78.689613,4272.39,1353445,316.79,0.32,3.9,6.1,0.0,0.0,0,0,0,0,0,24,70,48.0,295.1,199.60000000000002,88.39999999999999,7.2,2.44,28,0
DIST_IND_627,TAMIL NADU,Thoothukkudi,,,,1750176,,,,,,,0,0,0,0,0,0,0,0.0,297.2,208.2,84.1,4.8,1.62,0,0
DIST_IND_628,TAMIL NADU,Tirunelveli,8.573991,77.591085,4008.19,3077233,767.74,0.79,4.3,15.0,0.0,0.0,0,0,0,0,0,13,45,63.0,284.4,202.7,77.8,3.8,1.34,77,0
DIST_IND_629,TAMIL NADU,Kanniyakumari,8.307289,77.359662,1741.95,1870374,1073.72,,,,,,0,0,0,0,0,14,47,63.0,297.29999999999995,188.0,100.7,8.5,2.86,129,0
DIST_IND_630,TAMIL NADU,Dharmapuri,12.100497,78.193379,4507.55,1506843,334.29,,,,,,0,0,0,0,0,30,95,60.0,295.0,202.8,85.8,6.4,2.17,33,0
DIST_IND_631,TAMIL NADU,Krishnagiri,12.490491,78.031469,5127.19,1879809,366.64,0.93,4.3,17.7,0.0,0.0,0,0,0,0,0,32,89,55.0,294.6,211.9,78.1,4.5,1.53,30,0
DIST_IND_632,TAMIL NADU,Coimbatore,10.876741,76.976632,4782.75,3458045,723.02,4.5,26.2,85.5,0.0,0.0,0,0,0,0,0,22,64,55.0,293.9,216.3,74.3,3.3,1.12,262,0
DIST_IND_633,TAMIL NADU,Tiruppur,10.837411,77.407715,5241.07,2479052,473.0,0.6,7.8,11.4,0.0,0.0,0,0,0,0,0,20,60,55.0,293.6,215.60000000000002,74.6,3.4000000000000004,1.16,0,0
DIST_IND_634,PONDICHERRY,Yanam,16.727661,82.252826,36.93,55626,1506.26,2.34,16.2,44.4,0.0,0.0,0,0,0,0,0,65,266,115.0,197.8,166.2,30.2,1.4,0.71,0,0
DIST_IND_635,PONDICHERRY,PONDICHERRY,11.912181,79.737693,303.86,950289,3127.39,,,,,,0,0,0,0,0,56,210,80.0,,,,,,0,0
DIST_IND_636,PONDICHERRY,Mahe,11.727375,75.540214,10.31,41816,4055.87,3.99,37.2,75.8,0.0,0.0,0,0,0,0,0,17,52,45.0,199.8,166.2,31.4,2.2,1.1,0,0
DIST_IND_637,PONDICHERRY,Karaikal,10.932248,79.803634,163.4,200222,1225.35,1.68,19.2,31.9,0.0,0.0,0,0,0,0,0,58,200,80.0,294.7,204.89999999999998,85.1,4.7,1.59,4,0
DIST_IND_638,ANDAMAN AND NICOBAR ISLANDS,Nicobars,7.510869,93.606548,1771.16,36842,20.8,,,,,,0,0,0,0,0,14,41,25.0,196.6,147.8,46.4,2.4,1.22,0,0
DIST_IND_639,ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,12.834582,92.869583,3366.99,105597,31.36,22.82,89.6,433.5,0.0,2.0,0,0,0,0,0,35,162,95.0,290.9,139.2,139.8,12.0,4.13,0,0
DIST_IND_640,ANDAMAN AND NICOBAR ISLANDS,South Andaman,,,,238142,,7.45,23.2,141.6,0.0,0.0,0,0,0,0,0,0,0,0.0,295.5,209.2,79.5,6.8,2.3,5,0
